blockid,miningpool
401444,AntPool
401445,BitClub
401446,F2Pool
401447,AntPool
401448,SlushPool
401449,F2Pool
401450,BTCC
401451,BTCC
401452,BTCC
401453,F2Pool
401454,KnCMiner
401455,BTCC
401456,AntPool
401457,AntPool
401458,KanoPool
401459,F2Pool
401460,BitFury
401461,BTCC
401462,1Hash
401463,F2Pool
401464,BitFury
401465,SlushPool
401466,F2Pool
401467,F2Pool
401468,BitFury
401469,BitFury
401470,F2Pool
401471,F2Pool
401472,BitClub
401473,BitFury
401474,BTCC
401475,F2Pool
401476,AntPool
401477,BTCC
401478,AntPool
401479,BW.COM
401480,BTCC
401481,AntPool
401482,KanoPool
401483,F2Pool
401484,F2Pool
401485,F2Pool
401486,Telco 214
401487,BW.COM
401488,AntPool
401489,BitFury
401490,AntPool
401491,F2Pool
401492,BTCC
401493,BTCC
401494,BTCC
401495,BTCC
401496,BTCC
401497,BW.COM
401498,AntPool
401499,AntPool
401500,F2Pool
401501,F2Pool
401502,F2Pool
401503,SlushPool
401504,1Hash
401505,BitFury
401506,BW.COM
401507,F2Pool
401508,BitFury
401509,BitFury
401510,F2Pool
401511,F2Pool
401512,AntPool
401513,BTCC
401514,KanoPool
401515,AntPool
401516,BitFury
401517,BitClub
401518,BitFury
401519,AntPool
401520,1Hash
401521,BitFury
401522,F2Pool
401523,BTCC
401524,F2Pool
401525,GHash.IO
401526,BitClub
401527,AntPool
401528,BitFury
401529,AntPool
401530,BTCC
401531,F2Pool
401532,BTCC
401533,BTCC
401534,F2Pool
401535,F2Pool
401536,BTCC
401537,BTCC
401538,F2Pool
401539,AntPool
401540,BitClub
401541,BW.COM
401542,BitFury
401543,F2Pool
401544,BW.COM
401545,F2Pool
401546,F2Pool
401547,F2Pool
401548,BW.COM
401549,F2Pool
401550,SlushPool
401551,BTCC
401552,BTCC
401553,BTCC
401554,BW.COM
401555,AntPool
401556,AntPool
401557,AntPool
401558,BW.COM
401559,BTCC
401560,F2Pool
401561,AntPool
401562,AntPool
401563,BitClub
401564,F2Pool
401565,BTCC
401566,1Hash
401567,F2Pool
401568,BW.COM
401569,BitClub
401570,F2Pool
401571,AntPool
401572,BitClub
401573,BTCC
401574,F2Pool
401575,KanoPool
401576,1Hash
401577,BitFury
401578,BitFury
401579,BTCC
401580,BW.COM
401581,F2Pool
401582,F2Pool
401583,AntPool
401584,F2Pool
401585,F2Pool
401586,AntPool
401587,AntPool
401588,BitFury
401589,BitFury
401590,BW.COM
401591,1Hash
401592,SlushPool
401593,BW.COM
401594,AntPool
401595,AntPool
401596,BitFury
401597,AntPool
401598,AntPool
401599,F2Pool
401600,AntPool
401601,AntPool
401602,SlushPool
401603,BTCC
401604,Solo CK
401605,F2Pool
401606,AntPool
401607,KnCMiner
401608,KnCMiner
401609,KnCMiner
401610,BTCC
401611,1Hash
401612,AntPool
401613,BTCC
401614,BW.COM
401615,SlushPool
401616,F2Pool
401617,F2Pool
401618,BitFury
401619,F2Pool
401620,BW.COM
401621,BW.COM
401622,BTCC
401623,AntPool
401624,KnCMiner
401625,AntPool
401626,BTCC
401627,F2Pool
401628,AntPool
401629,AntPool
401630,BW.COM
401631,KnCMiner
401632,AntPool
401633,F2Pool
401634,BW.COM
401635,KnCMiner
401636,BitClub
401637,BTCC
401638,KnCMiner
401639,KanoPool
401640,AntPool
401641,AntPool
401642,BitClub
401643,BW.COM
401644,KanoPool
