Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others,,ALL,ANTPOOL,F2POOL,VIABTC,BTCCOM
2016-04-22 00:00:00 UTC,,3.27E+17,,,2.30E+17,8.84E+16,7.96E+16,1.77E+16,,2.83E+17,7.96E+16,,,,1.59E+17,,1.26E+18,3.27E+17,2.83E+17,0.00E+00,0.00E+00
2016-04-23 00:00:00 UTC,,4.10E+17,,,1.96E+17,5.35E+16,9.80E+16,,8.91E+15,3.30E+17,5.35E+16,,,8.91E+15,1.25E+17,,1.28E+18,4.10E+17,3.30E+17,0.00E+00,0.00E+00
2016-04-24 00:00:00 UTC,,2.92E+17,,,1.33E+17,1.15E+17,1.42E+17,,1.77E+16,2.74E+17,4.42E+16,,,,1.50E+17,,1.17E+18,2.92E+17,2.74E+17,0.00E+00,0.00E+00
2016-04-25 00:00:00 UTC,,2.79E+17,,,1.80E+17,7.19E+16,1.26E+17,,,2.34E+17,7.19E+16,,,,1.80E+17,,1.14E+18,2.79E+17,2.34E+17,0.00E+00,0.00E+00
2016-04-26 00:00:00 UTC,,3.95E+17,,,1.84E+17,1.23E+17,1.14E+17,8.77E+15,8.77E+15,2.46E+17,7.89E+16,,,8.77E+15,1.58E+17,,1.32E+18,3.95E+17,2.46E+17,0.00E+00,0.00E+00
2016-04-27 00:00:00 UTC,,3.54E+17,,,1.09E+17,9.99E+16,6.36E+16,,,2.82E+17,7.27E+16,,,9.08E+15,1.82E+17,,1.17E+18,3.54E+17,2.82E+17,0.00E+00,0.00E+00
2016-04-28 00:00:00 UTC,,4.01E+17,,,1.69E+17,1.07E+17,7.14E+16,,,3.12E+17,4.46E+16,,,,9.81E+16,,1.20E+18,4.01E+17,3.12E+17,0.00E+00,0.00E+00
2016-04-29 00:00:00 UTC,,3.73E+17,,,2.77E+17,1.04E+17,1.13E+17,,,3.47E+17,1.73E+16,8.67E+15,,,1.30E+17,,1.37E+18,3.73E+17,3.47E+17,0.00E+00,0.00E+00
2016-04-30 00:00:00 UTC,,3.78E+17,,,2.16E+17,4.51E+16,1.44E+17,,1.80E+16,3.06E+17,5.41E+16,,,9.01E+15,1.44E+17,,1.32E+18,3.78E+17,3.06E+17,0.00E+00,0.00E+00
2016-05-01 00:00:00 UTC,,3.56E+17,,,2.49E+17,8.00E+16,1.25E+17,8.89E+15,,3.56E+17,6.23E+16,,,8.89E+15,1.33E+17,,1.38E+18,3.56E+17,3.56E+17,0.00E+00,0.00E+00
2016-05-02 00:00:00 UTC,,4.02E+17,,,1.84E+17,1.31E+17,7.87E+16,,8.74E+15,3.41E+17,6.99E+16,,,,1.57E+17,,1.37E+18,4.02E+17,3.41E+17,0.00E+00,0.00E+00
2016-05-03 00:00:00 UTC,,3.55E+17,,,1.86E+17,9.76E+16,1.15E+17,8.87E+15,,3.46E+17,7.10E+16,,,,1.60E+17,,1.34E+18,3.55E+17,3.46E+17,0.00E+00,0.00E+00
2016-05-04 00:00:00 UTC,,3.47E+17,,,2.76E+17,1.16E+17,1.33E+17,,1.78E+16,3.47E+17,1.25E+17,,,1.78E+16,1.07E+17,,1.49E+18,3.47E+17,3.47E+17,0.00E+00,0.00E+00
2016-05-05 00:00:00 UTC,,3.30E+17,,,2.23E+17,1.25E+17,1.34E+17,,,3.92E+17,6.24E+16,,,,1.16E+17,,1.38E+18,3.30E+17,3.92E+17,0.00E+00,0.00E+00
2016-05-06 00:00:00 UTC,,4.18E+17,,,2.49E+17,1.25E+17,1.25E+17,8.90E+15,,3.38E+17,5.34E+16,,,8.90E+15,1.16E+17,,1.44E+18,4.18E+17,3.38E+17,0.00E+00,0.00E+00
2016-05-07 00:00:00 UTC,,4.25E+17,,,8.86E+16,1.06E+17,1.59E+17,1.77E+16,1.77E+16,3.01E+17,6.20E+16,,,,1.51E+17,,1.33E+18,4.25E+17,3.01E+17,0.00E+00,0.00E+00
2016-05-08 00:00:00 UTC,,3.54E+17,,,2.13E+17,1.86E+17,1.33E+17,,,3.72E+17,7.97E+16,,,8.85E+15,1.42E+17,,1.49E+18,3.54E+17,3.72E+17,0.00E+00,0.00E+00
2016-05-09 00:00:00 UTC,,4.43E+17,,,2.04E+17,1.33E+17,1.77E+17,,,3.81E+17,4.43E+16,,,,1.33E+17,,1.52E+18,4.43E+17,3.81E+17,0.00E+00,0.00E+00
2016-05-10 00:00:00 UTC,,4.27E+17,,,1.60E+17,1.60E+17,1.33E+17,8.89E+15,,3.56E+17,5.33E+16,,,,1.07E+17,,1.40E+18,4.27E+17,3.56E+17,0.00E+00,0.00E+00
2016-05-11 00:00:00 UTC,,3.60E+17,,,1.14E+17,1.32E+17,1.14E+17,,9.46E+15,3.03E+17,9.46E+16,9.46E+15,,,1.23E+17,,1.26E+18,3.60E+17,3.03E+17,0.00E+00,0.00E+00
2016-05-12 00:00:00 UTC,,3.73E+17,,,1.67E+17,1.18E+17,8.84E+16,9.83E+15,9.83E+15,2.95E+17,1.18E+17,,,,1.87E+17,,1.37E+18,3.73E+17,2.95E+17,0.00E+00,0.00E+00
2016-05-13 00:00:00 UTC,,4.46E+17,,,1.99E+17,1.33E+17,8.54E+16,,9.49E+15,3.51E+17,6.64E+16,,,9.49E+15,1.42E+17,,1.44E+18,4.46E+17,3.51E+17,0.00E+00,0.00E+00
2016-05-14 00:00:00 UTC,,3.88E+17,,,1.55E+17,8.72E+16,1.36E+17,,,3.39E+17,6.78E+16,,,1.94E+16,2.04E+17,,1.40E+18,3.88E+17,3.39E+17,0.00E+00,0.00E+00
2016-05-15 00:00:00 UTC,,3.18E+17,,,1.16E+17,1.16E+17,1.83E+17,9.63E+15,,3.95E+17,8.67E+16,,,,1.16E+17,,1.34E+18,3.18E+17,3.95E+17,0.00E+00,0.00E+00
2016-05-16 00:00:00 UTC,,3.96E+17,,,1.54E+17,1.16E+17,1.54E+17,,,3.86E+17,7.72E+16,,,,7.72E+16,,1.36E+18,3.96E+17,3.86E+17,0.00E+00,0.00E+00
